,boyname,boyfreq
605,Huxley,0.000147
606,Harper,0.000145
607,Damari,0.000145
608,Castiel,0.000145
609,Harold,0.000145
610,Henrik,0.000144
611,Houston,0.000144
612,Emory,0.00014199999999999998
613,Toby,0.00014199999999999998
614,Sutton,0.00014
615,Shiloh,0.00014
616,Alfonso,0.00014
617,London,0.000139
618,Eugene,0.000139
619,Gordon,0.000139
620,Denver,0.000138
621,Jordy,0.000138
622,Jermaine,0.000138
623,Yahir,0.000136
624,Musa,0.000136
625,Gerald,0.000136
626,Vincenzo,0.000136
627,Merrick,0.000136
628,Tadeo,0.000135
629,Hugh,0.000134
630,Billy,0.000134
631,Vance,0.000134
632,Westin,0.000134
633,Trace,0.000134
634,Dayton,0.000133
635,Javion,0.000133
636,Reginald,0.000133
637,Westley,0.000132
638,Thatcher,0.000132
639,Landry,0.000131
640,Miller,0.000131
641,Caspian,0.000129
642,Eliseo,0.000129
643,Cristiano,0.000129
644,Jerome,0.000129
645,Alvaro,0.000129
646,Kendall,0.000128
647,Khalid,0.000128
648,Junior,0.000128
649,Duncan,0.000127
650,Alfred,0.000127
651,Zavier,0.000127
652,Maxim,0.000126
653,Rudy,0.000125
654,Rogelio,0.000124
655,Maximo,0.000124
656,Dario,0.000124
657,Davion,0.000124
658,Coleman,0.000124
659,Briar,0.000124
660,Xzavier,0.000123
661,Jairo,0.000123
662,Misael,0.000123
663,Draven,0.000122
664,Ronnie,0.000122
665,Keanu,0.000122
666,Yehuda,0.000121
667,Leighton,0.000121
668,Reuben,0.000121
669,Shaun,0.000121
670,Santana,0.00011999999999999999
671,Kamryn,0.00011999999999999999
672,Dangelo,0.00011999999999999999
673,Dimitri,0.00011899999999999999
674,Mustafa,0.00011899999999999999
675,Lamar,0.000118
676,Benton,0.000118
677,Achilles,0.000118
678,Wells,0.000118
679,Nova,0.000117
680,Yahya,0.000117
681,Channing,0.000117
682,Gibson,0.00011599999999999999
683,Ulises,0.00011599999999999999
684,Valentin,0.00011499999999999999
685,Alexzander,0.00011499999999999999
686,Alistair,0.00011399999999999999
687,Leroy,0.00011399999999999999
688,Kaiser,0.00011399999999999999
689,Camilo,0.00011399999999999999
690,Foster,0.000113
691,Koa,0.000113
692,Shmuel,0.00011200000000000001
693,Judson,0.00011200000000000001
694,Agustin,0.00011200000000000001
